filename,source_report,buffer,prefix,report_type,router,seed,ttl,oppo_cache_miss,drop_list,drop_pit,drop_nonce,query_count,duplicated_query,static_cache_hit,static_cache_miss,response_count,average_interval,caching_gain_index,retrieval_latency_reduction,interest_satisfaction_rate,delivery_prob,overhead_ratio,latency_avg,hopcount_avg,buffertime_avg
TEST_CCNRouter_13_250_128M_2_CCN_application_reporter.txt,Unknown,128,TEST,2,CCNRouter,13,250,4330.0,0.0,891.0,10.0,381.0,219.0,148.0,471.0,325.0,1641.0,66.9,15.39,90.74,0.6362,11.5942,3770.9401,2.6391,13411.4761
TEST_CCNRouter_13_100_32M_2_MessageStatsReport.txt,MessageStatsReport,32,TEST,2,CCNRouter,13,100,4056.0,0.0,822.0,4.0,381.0,219.0,131.0,410.0,247.0,1190.0,67.02,10.94,83.33,0.4736,15.4182,2097.4055,2.5434,4952.65
TEST_CCNRouter_27_250_256M_2_MessageStatsReport.txt,MessageStatsReport,256,TEST,2,CCNRouter,27,250,4303.0,0.0,898.0,17.0,380.0,220.0,165.0,474.0,336.0,1490.0,65.92,14.09,92.59,0.6385,11.493,3866.9664,2.6788,13387.4593
TEST_CCNRouter_13_150_128M_2_MessageStatsReport.txt,MessageStatsReport,128,TEST,2,CCNRouter,13,150,4212.0,0.0,862.0,3.0,381.0,219.0,141.0,439.0,290.0,1503.0,66.51,16.13,90.74,0.5555,13.3236,2805.7504,2.5857,7749.4137
TEST_CCNRouter_27_200_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,CCNRouter,27,200,4266.0,0.0,892.0,8.0,380.0,220.0,161.0,466.0,330.0,1441.0,65.26,19.48,92.59,0.6046,12.1993,3361.4164,2.6271,10638.7951
TEST_CCNRouter_27_250_16M_2_CCN_application_reporter.txt,Unknown,16,TEST,2,CCNRouter,27,250,4287.0,0.0,904.0,105.0,380.0,220.0,163.0,464.0,328.0,1519.0,65.62,17.36,92.59,0.6544,11.2314,3887.5735,2.7633,11994.2264
TEST_CCNRouter_13_150_4M_2_CCN_application_reporter.txt,Unknown,4,TEST,2,CCNRouter,13,150,3884.0,0.0,765.0,133.0,381.0,219.0,129.0,370.0,257.0,1237.0,64.65,18.78,79.63,0.4904,14.3013,2497.1663,2.8518,5772.8895
TEST_CCNRouter_13_50_4M_2_CCN_application_reporter.txt,Unknown,4,TEST,2,CCNRouter,13,50,3352.0,0.0,625.0,16.0,381.0,219.0,104.0,311.0,180.0,685.0,65.78,7.32,59.26,0.3152,21.5699,1027.84,2.4356,2230.843
TEST_CCNRouter_13_200_128M_2_MessageStatsReport.txt,MessageStatsReport,128,TEST,2,CCNRouter,13,200,4294.0,0.0,884.0,6.0,381.0,219.0,146.0,459.0,314.0,1596.0,66.67,17.09,90.74,0.6042,12.215,3357.3492,2.6005,10622.4361
TEST_CCNRouter_27_150_256M_2_MessageStatsReport.txt,MessageStatsReport,256,TEST,2,CCNRouter,27,150,4204.0,0.0,879.0,8.0,380.0,220.0,157.0,452.0,306.0,1327.0,65.07,20.18,92.59,0.5672,13.0329,2916.7135,2.5672,7748.6687
TEST_CCNRouter_13_200_8M_2_MessageStatsReport.txt,MessageStatsReport,8,TEST,2,CCNRouter,13,200,4213.0,0.0,856.0,127.0,381.0,219.0,136.0,441.0,284.0,1348.0,66.31,15.81,83.33,0.5891,12.4522,3322.3138,2.7956,8277.9578
TEST_CCNRouter_27_150_32M_2_CCN_application_reporter.txt,Unknown,32,TEST,2,CCNRouter,27,150,4204.0,0.0,879.0,8.0,380.0,220.0,157.0,452.0,306.0,1327.0,65.07,20.18,92.59,0.5672,13.0329,2916.7135,2.5672,7748.6687
TEST_CCNRouter_13_50_64M_2_MessageStatsReport.txt,MessageStatsReport,64,TEST,2,CCNRouter,13,50,3361.0,0.0,630.0,2.0,381.0,219.0,105.0,315.0,187.0,722.0,65.11,10.09,59.26,0.3283,21.0026,1068.0,2.4068,2319.585
TEST_CCNRouter_27_250_8M_2_MessageStatsReport.txt,MessageStatsReport,8,TEST,2,CCNRouter,27,250,4254.0,0.0,876.0,191.0,380.0,220.0,162.0,461.0,317.0,1533.0,65.39,19.29,92.59,0.6438,11.3537,3646.8509,2.9004,9837.0156
TEST_CCNRouter_27_100_4M_2_CCN_application_reporter.txt,Unknown,4,TEST,2,CCNRouter,27,100,3949.0,0.0,802.0,71.0,380.0,220.0,141.0,413.0,258.0,1068.0,63.81,21.45,85.19,0.4325,16.3967,1916.7164,2.6676,4158.4163
TEST_CCNRouter_27_100_256M_2_CCN_application_reporter.txt,Unknown,256,TEST,2,CCNRouter,27,100,3999.0,0.0,821.0,5.0,380.0,220.0,143.0,422.0,263.0,1151.0,64.56,23.15,88.89,0.4776,15.4175,2129.1949,2.4804,4961.3833
TEST_CCNRouter_27_100_64M_2_MessageStatsReport.txt,MessageStatsReport,64,TEST,2,CCNRouter,27,100,3999.0,0.0,821.0,5.0,380.0,220.0,143.0,422.0,263.0,1151.0,64.56,23.15,88.89,0.4776,15.4175,2129.1949,2.4804,4961.3833
TEST_CCNRouter_13_100_256M_2_CCN_application_reporter.txt,Unknown,256,TEST,2,CCNRouter,13,100,4056.0,0.0,822.0,4.0,381.0,219.0,131.0,410.0,247.0,1190.0,67.02,10.94,83.33,0.4736,15.4182,2097.4055,2.5434,4952.65
TEST_CCNRouter_13_100_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,CCNRouter,13,100,4056.0,0.0,822.0,4.0,381.0,219.0,131.0,410.0,247.0,1190.0,67.02,10.94,83.33,0.4736,15.4182,2097.4055,2.5434,4952.65
