filename,source_report,buffer,prefix,report_type,router,seed,ttl,oppo_cache_miss,drop_list,drop_pit,drop_nonce,query_count,duplicated_query,static_cache_hit,static_cache_miss,response_count,average_interval,caching_gain_index,retrieval_latency_reduction,interest_satisfaction_rate,delivery_prob,overhead_ratio,latency_avg,hopcount_avg,buffertime_avg
TEST_EpidemicRouter_13_50_256M_2_MessageStatsReport.txt,MessageStatsReport,256,TEST,2,EpidemicRouter,13,50,5115.0,0.0,1683.0,5.0,371.0,229.0,161.0,579.0,301.0,680.0,84.56,25.68,83.33,0.4364,68.4276,1149.7869,3.1655,1733.3479
TEST_EpidemicRouter_13_200_8M_2_CCN_application_reporter.txt,Unknown,8,TEST,2,EpidemicRouter,13,200,6389.0,0.0,2478.0,12374.0,371.0,229.0,226.0,767.0,349.0,1164.0,91.34,-4.53,92.59,0.6429,115.4251,3323.8499,3.6957,2968.3591
TEST_EpidemicRouter_13_50_128M_2_CCN_application_reporter.txt,Unknown,128,TEST,2,EpidemicRouter,13,50,5115.0,0.0,1683.0,5.0,371.0,229.0,161.0,579.0,301.0,680.0,84.56,25.68,83.33,0.4364,68.4276,1149.7869,3.1655,1733.3479
TEST_EpidemicRouter_13_200_128M_2_CCN_application_reporter.txt,Unknown,128,TEST,2,EpidemicRouter,13,200,6777.0,0.0,2757.0,2715.0,371.0,229.0,290.0,956.0,350.0,1079.0,93.64,-33.23,94.44,0.6921,100.781,3374.024,3.1544,3597.5385
TEST_EpidemicRouter_13_200_4M_2_MessageStatsReport.txt,MessageStatsReport,4,TEST,2,EpidemicRouter,13,200,5690.0,0.0,2044.0,20820.0,372.0,228.0,182.0,644.0,344.0,991.0,89.39,5.5,87.04,0.6095,128.2596,2968.6096,3.9983,2691.6537
TEST_EpidemicRouter_27_50_128M_2_MessageStatsReport.txt,MessageStatsReport,128,TEST,2,EpidemicRouter,27,50,5921.0,0.0,2229.0,2.0,373.0,227.0,225.0,617.0,286.0,671.0,83.9,14.52,79.63,0.4176,68.5364,1129.8871,3.0182,1657.6427
TEST_EpidemicRouter_13_150_32M_2_MessageStatsReport.txt,MessageStatsReport,32,TEST,2,EpidemicRouter,13,150,6574.0,0.0,2607.0,1967.0,371.0,229.0,271.0,890.0,347.0,1049.0,92.7,-16.27,94.44,0.6605,87.9131,2783.9581,3.1998,3157.9618
TEST_EpidemicRouter_27_150_128M_2_CCN_application_reporter.txt,Unknown,128,TEST,2,EpidemicRouter,27,150,7170.0,0.0,2960.0,1472.0,373.0,227.0,316.0,905.0,367.0,988.0,91.87,-19.06,94.44,0.6435,83.8144,2986.1491,3.1831,3207.0692
TEST_EpidemicRouter_13_200_16M_2_MessageStatsReport.txt,MessageStatsReport,16,TEST,2,EpidemicRouter,13,200,6697.0,0.0,2717.0,4516.0,371.0,229.0,278.0,866.0,366.0,1123.0,92.77,-12.39,98.15,0.6707,105.3407,3390.0092,3.3678,3385.8774
TEST_EpidemicRouter_27_250_32M_2_CCN_application_reporter.txt,Unknown,32,TEST,2,EpidemicRouter,27,250,7337.0,0.0,3073.0,3414.0,373.0,227.0,356.0,1046.0,369.0,1005.0,93.59,-58.21,96.3,0.6814,106.848,4069.8397,3.1849,4047.7551
TEST_EpidemicRouter_27_250_64M_2_MessageStatsReport.txt,MessageStatsReport,64,TEST,2,EpidemicRouter,27,250,7350.0,0.0,3085.0,3223.0,373.0,227.0,358.0,1052.0,368.0,992.0,93.55,-58.27,94.44,0.6864,106.846,3985.3375,3.0957,4130.984
TEST_EpidemicRouter_13_100_128M_2_MessageStatsReport.txt,MessageStatsReport,128,TEST,2,EpidemicRouter,13,100,6115.0,0.0,2277.0,422.0,371.0,229.0,242.0,757.0,334.0,1016.0,91.03,-0.46,96.3,0.6131,72.3286,2228.5441,3.3421,2772.0954
TEST_EpidemicRouter_27_150_256M_2_CCN_application_reporter.txt,Unknown,256,TEST,2,EpidemicRouter,27,150,7170.0,0.0,2960.0,1472.0,373.0,227.0,316.0,905.0,367.0,988.0,91.87,-19.06,94.44,0.6435,83.8144,2986.1491,3.1831,3207.0692
TEST_EpidemicRouter_13_250_4M_2_MessageStatsReport.txt,MessageStatsReport,4,TEST,2,EpidemicRouter,13,250,5713.0,0.0,2067.0,24488.0,372.0,228.0,184.0,640.0,345.0,1090.0,89.4,8.15,90.74,0.6098,152.2848,3128.7016,4.0054,2755.3571
TEST_EpidemicRouter_27_100_128M_2_CCN_application_reporter.txt,Unknown,128,TEST,2,EpidemicRouter,27,100,6913.0,0.0,2771.0,473.0,373.0,227.0,301.0,854.0,360.0,989.0,89.98,-0.18,96.3,0.5861,70.5514,2315.1219,3.4244,2743.3419
TEST_EpidemicRouter_27_100_4M_2_CCN_application_reporter.txt,Unknown,4,TEST,2,EpidemicRouter,27,100,6274.0,0.0,2345.0,6269.0,374.0,226.0,243.0,694.0,358.0,918.0,87.14,4.8,92.59,0.5384,79.173,2366.9525,3.8711,2364.6068
TEST_EpidemicRouter_13_100_8M_2_CCN_application_reporter.txt,Unknown,8,TEST,2,EpidemicRouter,13,100,5879.0,0.0,2110.0,3879.0,371.0,229.0,199.0,681.0,335.0,930.0,89.85,6.67,87.04,0.5965,76.6691,2265.2289,3.5498,2583.4611
TEST_EpidemicRouter_13_250_64M_2_MessageStatsReport.txt,MessageStatsReport,64,TEST,2,EpidemicRouter,13,250,6872.0,0.0,2824.0,4253.0,371.0,229.0,311.0,992.0,354.0,1219.0,93.98,-40.01,98.15,0.7095,114.3601,3764.8213,3.1073,3973.3628
TEST_EpidemicRouter_13_200_256M_2_MessageStatsReport.txt,MessageStatsReport,256,TEST,2,EpidemicRouter,13,200,6777.0,0.0,2757.0,2715.0,371.0,229.0,290.0,956.0,350.0,1079.0,93.64,-33.23,94.44,0.6921,100.781,3374.024,3.1544,3597.5385
TEST_EpidemicRouter_27_100_16M_2_MessageStatsReport.txt,MessageStatsReport,16,TEST,2,EpidemicRouter,27,100,6838.0,0.0,2734.0,470.0,373.0,227.0,308.0,847.0,366.0,965.0,89.99,-0.92,98.15,0.5838,70.7386,2358.0803,3.4555,2710.7037
TEST_EpidemicRouter_13_150_128M_2_MessageStatsReport.txt,MessageStatsReport,128,TEST,2,EpidemicRouter,13,150,6574.0,0.0,2607.0,1967.0,371.0,229.0,271.0,890.0,347.0,1049.0,92.7,-16.27,94.44,0.6595,88.028,2779.3116,3.2192,3157.5223
TEST_EpidemicRouter_27_150_32M_2_MessageStatsReport.txt,MessageStatsReport,32,TEST,2,EpidemicRouter,27,150,7160.0,0.0,2954.0,1537.0,373.0,227.0,317.0,900.0,367.0,974.0,91.91,-19.35,94.44,0.6306,85.0176,2983.2078,3.2105,3194.6279
TEST_EpidemicRouter_13_150_256M_2_CCN_application_reporter.txt,Unknown,256,TEST,2,EpidemicRouter,13,150,6574.0,0.0,2607.0,1967.0,371.0,229.0,271.0,890.0,347.0,1049.0,92.7,-16.27,94.44,0.6595,88.028,2779.3116,3.2192,3157.5223
TEST_EpidemicRouter_27_50_4M_2_CCN_application_reporter.txt,Unknown,4,TEST,2,EpidemicRouter,27,50,5679.0,0.0,2014.0,1651.0,374.0,226.0,215.0,607.0,297.0,750.0,79.84,26.74,88.89,0.3742,71.7979,1154.8178,3.2837,1560.4848
TEST_EpidemicRouter_13_50_64M_2_MessageStatsReport.txt,MessageStatsReport,64,TEST,2,EpidemicRouter,13,50,5115.0,0.0,1683.0,5.0,371.0,229.0,161.0,579.0,301.0,680.0,84.56,25.68,83.33,0.4364,68.4276,1149.7869,3.1655,1733.3479
TEST_EpidemicRouter_27_50_32M_2_CCN_application_reporter.txt,Unknown,32,TEST,2,EpidemicRouter,27,50,5921.0,0.0,2229.0,2.0,373.0,227.0,225.0,617.0,286.0,671.0,83.9,14.52,79.63,0.4176,68.5364,1129.8871,3.0182,1657.6427
TEST_EpidemicRouter_13_50_16M_2_MessageStatsReport.txt,MessageStatsReport,16,TEST,2,EpidemicRouter,13,50,5115.0,0.0,1683.0,5.0,371.0,229.0,161.0,579.0,301.0,680.0,84.56,25.68,83.33,0.4347,68.6587,1142.7131,3.1267,1734.2776
TEST_EpidemicRouter_13_50_8M_2_MessageStatsReport.txt,MessageStatsReport,8,TEST,2,EpidemicRouter,13,50,5028.0,0.0,1642.0,304.0,371.0,229.0,158.0,565.0,299.0,678.0,84.04,27.74,81.48,0.4341,68.1215,1182.1523,3.2508,1728.9493
TEST_EpidemicRouter_27_250_8M_2_MessageStatsReport.txt,MessageStatsReport,8,TEST,2,EpidemicRouter,27,250,6882.0,0.0,2876.0,12694.0,373.0,227.0,294.0,814.0,370.0,1030.0,90.74,-20.12,96.3,0.6458,121.0656,3508.0584,3.7882,3285.1226
TEST_EpidemicRouter_13_250_16M_2_CCN_application_reporter.txt,Unknown,16,TEST,2,EpidemicRouter,13,250,6763.0,0.0,2767.0,6370.0,371.0,229.0,285.0,901.0,370.0,1206.0,93.04,-16.59,100.0,0.6814,121.7383,3748.9729,3.3978,3610.782
TEST_EpidemicRouter_27_100_8M_2_MessageStatsReport.txt,MessageStatsReport,8,TEST,2,EpidemicRouter,27,100,6686.0,0.0,2720.0,2894.0,373.0,227.0,272.0,756.0,362.0,954.0,88.65,1.39,96.3,0.5865,73.0269,2403.1627,3.6579,2570.6072
TEST_EpidemicRouter_13_50_4M_2_CCN_application_reporter.txt,Unknown,4,TEST,2,EpidemicRouter,13,50,4599.0,0.0,1381.0,2064.0,372.0,228.0,137.0,508.0,272.0,599.0,83.13,26.67,68.52,0.3962,74.793,1149.5115,3.2879,1654.8376
TEST_EpidemicRouter_27_150_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,EpidemicRouter,27,150,7170.0,0.0,2960.0,1472.0,373.0,227.0,316.0,905.0,367.0,988.0,91.87,-19.06,94.44,0.6435,83.8144,2986.1491,3.1831,3207.0692
TEST_EpidemicRouter_13_150_4M_2_MessageStatsReport.txt,MessageStatsReport,4,TEST,2,EpidemicRouter,13,150,5616.0,0.0,1997.0,15129.0,372.0,228.0,181.0,625.0,330.0,885.0,89.3,3.55,85.19,0.5995,106.3167,2686.086,3.9093,2595.2288
TEST_EpidemicRouter_27_200_4M_2_MessageStatsReport.txt,MessageStatsReport,4,TEST,2,EpidemicRouter,27,200,6457.0,0.0,2513.0,15826.0,374.0,226.0,254.0,724.0,367.0,977.0,88.4,-3.33,92.59,0.5933,114.8358,3153.6918,4.0303,2712.4613
TEST_EpidemicRouter_13_200_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,EpidemicRouter,13,200,6777.0,0.0,2757.0,2715.0,371.0,229.0,290.0,956.0,350.0,1079.0,93.64,-33.23,94.44,0.6921,100.781,3374.024,3.1544,3597.5385
TEST_EpidemicRouter_13_100_4M_2_MessageStatsReport.txt,MessageStatsReport,4,TEST,2,EpidemicRouter,13,100,5295.0,0.0,1778.0,8900.0,372.0,228.0,176.0,595.0,300.0,906.0,88.81,0.85,85.19,0.5546,84.8955,2177.5503,3.8006,2448.791
TEST_EpidemicRouter_13_100_16M_2_CCN_application_reporter.txt,Unknown,16,TEST,2,EpidemicRouter,13,100,6098.0,0.0,2280.0,366.0,371.0,229.0,235.0,750.0,339.0,923.0,90.89,1.67,92.59,0.6091,73.0679,2228.1774,3.3552,2757.1763
TEST_EpidemicRouter_27_250_4M_2_MessageStatsReport.txt,MessageStatsReport,4,TEST,2,EpidemicRouter,27,250,6485.0,0.0,2529.0,18940.0,374.0,226.0,255.0,725.0,370.0,1075.0,88.36,-1.76,96.3,0.5944,132.8078,3338.9292,4.1392,2813.6362
TEST_EpidemicRouter_27_100_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,EpidemicRouter,27,100,6913.0,0.0,2771.0,473.0,373.0,227.0,301.0,854.0,360.0,989.0,89.98,-0.18,96.3,0.5861,70.5514,2315.1219,3.4244,2743.3419
TEST_EpidemicRouter_13_100_32M_2_CCN_application_reporter.txt,Unknown,32,TEST,2,EpidemicRouter,13,100,6115.0,0.0,2277.0,422.0,371.0,229.0,242.0,757.0,334.0,1016.0,91.03,-0.46,96.3,0.6131,72.3286,2228.5441,3.3421,2772.0947
TEST_EpidemicRouter_27_200_8M_2_CCN_application_reporter.txt,Unknown,8,TEST,2,EpidemicRouter,27,200,6861.0,0.0,2850.0,9495.0,373.0,227.0,293.0,805.0,370.0,1011.0,90.52,-15.76,96.3,0.6463,104.4503,3365.5003,3.7568,3117.2246
TEST_EpidemicRouter_27_50_8M_2_CCN_application_reporter.txt,Unknown,8,TEST,2,EpidemicRouter,27,50,5928.0,0.0,2245.0,479.0,373.0,227.0,220.0,617.0,288.0,684.0,82.02,21.86,79.63,0.4144,68.1844,1143.6212,3.0543,1591.4719
TEST_EpidemicRouter_13_100_256M_2_CCN_application_reporter.txt,Unknown,256,TEST,2,EpidemicRouter,13,100,6115.0,0.0,2277.0,422.0,371.0,229.0,242.0,757.0,334.0,1016.0,91.03,-0.46,96.3,0.6131,72.3286,2228.5441,3.3421,2772.0954
TEST_EpidemicRouter_27_200_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,EpidemicRouter,27,200,7273.0,0.0,3021.0,2152.0,373.0,227.0,333.0,985.0,366.0,966.0,92.93,-41.22,94.44,0.6669,95.9371,3486.278,3.1501,3681.9377
TEST_EpidemicRouter_27_50_256M_2_MessageStatsReport.txt,MessageStatsReport,256,TEST,2,EpidemicRouter,27,50,5921.0,0.0,2229.0,2.0,373.0,227.0,225.0,617.0,286.0,671.0,83.9,14.52,79.63,0.4176,68.5364,1129.8871,3.0182,1657.6427
TEST_EpidemicRouter_27_200_256M_2_CCN_application_reporter.txt,Unknown,256,TEST,2,EpidemicRouter,27,200,7273.0,0.0,3021.0,2152.0,373.0,227.0,333.0,985.0,366.0,966.0,92.93,-41.22,94.44,0.6669,95.9371,3486.278,3.1501,3681.9377
TEST_EpidemicRouter_27_50_16M_2_CCN_application_reporter.txt,Unknown,16,TEST,2,EpidemicRouter,27,50,5918.0,0.0,2226.0,38.0,373.0,227.0,225.0,618.0,296.0,661.0,83.35,17.01,79.63,0.4194,68.6517,1145.4662,3.0699,1654.5204
TEST_EpidemicRouter_27_100_256M_2_MessageStatsReport.txt,MessageStatsReport,256,TEST,2,EpidemicRouter,27,100,6913.0,0.0,2771.0,473.0,373.0,227.0,301.0,854.0,360.0,989.0,89.98,-0.18,96.3,0.5861,70.5514,2315.1219,3.4244,2743.3419
TEST_EpidemicRouter_13_150_8M_2_CCN_application_reporter.txt,Unknown,8,TEST,2,EpidemicRouter,13,150,6244.0,0.0,2368.0,7784.0,371.0,229.0,212.0,736.0,343.0,1065.0,90.91,-1.79,90.74,0.6273,96.8886,2846.1476,3.5731,2785.0943
TEST_EpidemicRouter_27_250_16M_2_CCN_application_reporter.txt,Unknown,16,TEST,2,EpidemicRouter,27,250,7219.0,0.0,3012.0,5441.0,373.0,227.0,330.0,992.0,373.0,1108.0,92.95,-39.16,100.0,0.6629,110.8287,3980.5376,3.3872,3825.0156
TEST_EpidemicRouter_27_50_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,EpidemicRouter,27,50,5921.0,0.0,2229.0,2.0,373.0,227.0,225.0,617.0,286.0,671.0,83.9,14.52,79.63,0.4176,68.5364,1129.8871,3.0182,1657.6427
TEST_EpidemicRouter_27_200_32M_2_CCN_application_reporter.txt,Unknown,32,TEST,2,EpidemicRouter,27,200,7274.0,0.0,3030.0,1967.0,373.0,227.0,335.0,988.0,367.0,968.0,93.01,-41.68,94.44,0.6685,94.9354,3559.4497,3.1573,3659.1318
TEST_EpidemicRouter_13_150_64M_2_CCN_application_reporter.txt,Unknown,64,TEST,2,EpidemicRouter,13,150,6574.0,0.0,2607.0,1967.0,371.0,229.0,271.0,890.0,347.0,1049.0,92.7,-16.27,94.44,0.6595,88.028,2779.3116,3.2192,3157.5223
